series_id,synth_control_type,p_value_<=0.05,p_value_<=0.1,R^2
37,NO_predictors,0,0,0.762756085
38,T_predictors,0,0,0.981304413
38,F_predictors,0,0,0.981227141
38,ALL_predictors,0,0,0.981302815
38,NO_predictors,0,0,0.967934784
39,T_predictors,0,0,0.922407716
39,F_predictors,0,0,0.936607228
39,ALL_predictors,0,0,0.950018706
39,NO_predictors,0,0,0.922273165
40,T_predictors,0,0,0.590587189
40,F_predictors,0,0,0.198793878
40,ALL_predictors,0,0,0.570479776
40,NO_predictors,0,0,0.071280574
41,T_predictors,0,0,0.886078291
41,F_predictors,0,0,0.844995535
41,ALL_predictors,0,0,0.863653415
41,NO_predictors,0,0,0.612641528
42,T_predictors,0,0,NA
42,F_predictors,0,0,0.814464882
42,ALL_predictors,0,0,0.833511742
42,NO_predictors,0,0,0.718669665
43,T_predictors,0,0,0.972377707
43,F_predictors,0,0,0.972377707
43,ALL_predictors,0,0,0.972377689
43,NO_predictors,0,0,0.972374485
44,T_predictors,0,0,0.938856312
44,F_predictors,0,0,0.937412188
44,ALL_predictors,0,0,0.939135422
44,NO_predictors,0,0,0.938856149
45,T_predictors,0,0,0.658213643
45,F_predictors,0,0,0.754958734
45,ALL_predictors,0,0,0.778874335
45,NO_predictors,0,0,0.727328467
46,T_predictors,0,0,0.805714525
46,F_predictors,0,0,0.815794522
46,ALL_predictors,0,0,0.813264479
46,NO_predictors,0,0,0.682403176
47,T_predictors,0,0,0.883633712
47,F_predictors,0,0,0.791821306
47,ALL_predictors,0,0,0.882405355
47,NO_predictors,0,0,0.78398337
48,T_predictors,0,0,0.631181121
48,F_predictors,0,0,0.621801316
48,ALL_predictors,0,0,0.849669829
48,NO_predictors,0,0,0.5675321
49,T_predictors,0,1,0.786395707
49,F_predictors,0,0,0.802669528
49,ALL_predictors,0,0,0.869485691
49,NO_predictors,0,0,0.725206997
50,T_predictors,0,0,0.655363186
50,F_predictors,0,0,0.654675661
50,ALL_predictors,0,0,0.656175906
50,NO_predictors,0,0,0.583694447
51,T_predictors,1,1,0.923254843
51,F_predictors,1,1,0.923211888
51,ALL_predictors,0,1,0.923258916
51,NO_predictors,1,1,0.892035991
52,T_predictors,0,0,NA
52,F_predictors,0,1,0.905481607
52,ALL_predictors,0,0,NA
52,NO_predictors,1,1,0.838110352
53,T_predictors,1,1,0.789791266
53,F_predictors,0,0,0.340312744
53,ALL_predictors,1,1,0.802183144
53,NO_predictors,0,0,0.279975747
54,T_predictors,0,0,0.80373576
54,F_predictors,0,0,0.618589689
54,ALL_predictors,0,0,0.860216848
54,NO_predictors,0,0,0.593912634
55,T_predictors,0,0,0.94072447
55,F_predictors,0,0,0.94487935
55,ALL_predictors,0,0,NA
55,NO_predictors,0,0,0.912703219
56,T_predictors,0,0,0.933907347
56,F_predictors,0,0,0.93384889
56,ALL_predictors,0,0,0.940654982
56,NO_predictors,0,0,0.933848939
57,T_predictors,0,0,0.95675051
57,F_predictors,0,1,0.954047721
57,ALL_predictors,0,0,0.956564038
57,NO_predictors,0,0,0.948324644
58,T_predictors,0,0,0.815442103
58,F_predictors,0,0,0.821346679
58,ALL_predictors,0,0,0.821411834
58,NO_predictors,0,0,0.784680267
59,T_predictors,0,0,0.951720675
59,F_predictors,0,0,0.964566766
59,ALL_predictors,0,0,0.969237581
59,NO_predictors,0,0,0.956890188
60,T_predictors,0,0,0.889284179
60,F_predictors,0,0,0.84904553
60,ALL_predictors,0,0,0.889477615
60,NO_predictors,0,0,0.573075418
61,T_predictors,1,1,0.878966315
61,F_predictors,0,0,0.886605688
61,ALL_predictors,0,0,0.886622693
61,NO_predictors,0,0,0.833577459
62,T_predictors,0,0,0.643366736
62,F_predictors,0,0,0.6931948
62,ALL_predictors,0,0,0.696411994
62,NO_predictors,0,0,0.546234416
63,T_predictors,0,0,0.994592969
63,F_predictors,0,0,0.993694988
63,ALL_predictors,0,0,0.994589867
63,NO_predictors,0,0,0.963294205
64,T_predictors,0,0,0.996216366
64,F_predictors,0,0,0.996203334
64,ALL_predictors,0,0,0.99621757
64,NO_predictors,0,0,0.996215236
65,T_predictors,0,0,0.968858607
65,F_predictors,0,0,0.965916684
65,ALL_predictors,0,0,0.969132921
65,NO_predictors,0,0,0.965712966
66,T_predictors,1,1,0.979425179
66,F_predictors,0,0,0.978917129
66,ALL_predictors,0,1,0.979415008
66,NO_predictors,0,0,0.978911769
67,T_predictors,0,0,0.991356267
67,F_predictors,0,0,0.990953175
67,ALL_predictors,0,0,0.991415114
67,NO_predictors,0,0,0.850581391
68,T_predictors,0,1,0.808421716
68,F_predictors,0,0,0.827421462
68,ALL_predictors,0,1,0.876046694
68,NO_predictors,0,1,0.694173728
69,T_predictors,0,1,0.957811194
69,F_predictors,0,0,0.851750884
69,ALL_predictors,0,1,0.965378293
69,NO_predictors,0,0,0.736594157
70,T_predictors,1,1,0.909438373
70,F_predictors,1,1,0.861769426
70,ALL_predictors,0,1,0.874891774
70,NO_predictors,1,1,0.877056488
71,T_predictors,0,0,0.985648481
71,F_predictors,0,0,0.985447311
71,ALL_predictors,0,0,0.985924622
71,NO_predictors,0,0,0.985099689
72,T_predictors,1,1,0.93671178
72,F_predictors,1,1,0.949910337
72,ALL_predictors,1,1,0.944781737
72,NO_predictors,1,1,0.932790142
73,T_predictors,0,0,0.987504775
73,F_predictors,0,0,0.987357841
73,ALL_predictors,0,0,0.987503448
73,NO_predictors,0,1,0.902391452
74,T_predictors,0,0,0.969328819
74,F_predictors,0,0,0.833216003
74,ALL_predictors,0,0,0.968937177
74,NO_predictors,0,0,0.608622368
75,T_predictors,0,0,0.787697355
75,F_predictors,0,1,0.794205478
75,ALL_predictors,0,0,0.794207363
75,NO_predictors,0,0,0.782063838
76,T_predictors,0,0,0.860436246
76,F_predictors,0,0,0.933874098
76,ALL_predictors,0,0,0.943851937
76,NO_predictors,0,0,0.728770768
77,T_predictors,0,0,0.923392664
77,F_predictors,0,0,0.929461179
77,ALL_predictors,0,0,0.930222896
77,NO_predictors,0,0,0.888990171
78,T_predictors,0,0,0.988589094
78,F_predictors,0,0,0.990492845
78,ALL_predictors,0,0,0.988707123
78,NO_predictors,0,0,0.987733289
79,T_predictors,0,0,0.942122112
79,F_predictors,0,0,0.887301797
79,ALL_predictors,0,0,0.849576718
79,NO_predictors,0,0,0.88546397
80,T_predictors,0,0,0.996726695
80,F_predictors,0,0,0.99317746
80,ALL_predictors,0,0,0.994790521
80,NO_predictors,0,0,0.892680764
81,T_predictors,0,0,0.909023204
81,F_predictors,0,0,0.915186527
81,ALL_predictors,0,0,0.917671286
81,NO_predictors,0,0,0.909876385
82,T_predictors,0,0,0.81431055
82,F_predictors,0,0,0.784776525
82,ALL_predictors,0,0,NA
82,NO_predictors,0,0,0.74535113
83,T_predictors,0,0,0.702817369
83,F_predictors,0,0,0.886814711
83,ALL_predictors,0,0,0.780358841
83,NO_predictors,0,0,0.572204827
84,T_predictors,0,0,0.956683921
84,F_predictors,0,0,0.912586417
84,ALL_predictors,0,0,0.95689359
84,NO_predictors,0,0,0.647583603
85,T_predictors,0,0,0.921526908
85,F_predictors,0,0,0.811464039
85,ALL_predictors,0,0,0.898403704
85,NO_predictors,0,0,0.745514349
86,T_predictors,0,1,0.852957567
86,F_predictors,1,1,0.854851827
86,ALL_predictors,0,0,0.866027689
86,NO_predictors,0,1,0.817470048
87,T_predictors,0,0,0.934094727
87,F_predictors,0,0,0.85673133
87,ALL_predictors,0,0,0.931275045
87,NO_predictors,0,0,NA
88,T_predictors,0,0,0.558589752
88,F_predictors,0,0,0.637969726
88,ALL_predictors,0,0,0.549068867
88,NO_predictors,0,0,0.637971505
89,T_predictors,0,0,0.874219158
89,F_predictors,0,0,0.851272642
89,ALL_predictors,0,0,0.874221799
89,NO_predictors,0,0,0.625052351
90,T_predictors,0,0,0.880219464
90,F_predictors,0,0,0.86075943
90,ALL_predictors,0,0,0.880219744
90,NO_predictors,0,0,0.816974589
91,T_predictors,0,0,0.959328872
91,F_predictors,0,0,0.957438607
91,ALL_predictors,0,0,0.966060911
91,NO_predictors,0,0,0.915978452
92,T_predictors,0,0,0.93536583
92,F_predictors,0,0,0.935556696
92,ALL_predictors,0,0,0.891566653
92,NO_predictors,0,0,0.425079728
93,T_predictors,0,0,0.983667912
93,F_predictors,0,0,0.983667938
93,ALL_predictors,0,0,0.983667926
93,NO_predictors,0,0,0.983667936
94,T_predictors,0,0,0.884951782
94,F_predictors,0,0,0.65390022
94,ALL_predictors,0,0,0.882279395
94,NO_predictors,0,0,0.470012738
95,T_predictors,0,0,0.792407692
95,F_predictors,0,0,0.821756248
95,ALL_predictors,0,0,0.791873861
95,NO_predictors,0,0,0.792491998
96,T_predictors,1,1,0.989432747
96,F_predictors,0,1,0.989333668
96,ALL_predictors,0,1,0.989482045
96,NO_predictors,1,1,0.98862844
97,T_predictors,0,0,0.836113109
97,F_predictors,0,0,0.843656901
97,ALL_predictors,0,0,0.840885847
97,NO_predictors,0,0,0.820847118
98,T_predictors,0,1,0.935793137
98,F_predictors,0,0,0.922890499
98,ALL_predictors,1,1,0.94291531
98,NO_predictors,0,0,0.808109518
99,T_predictors,0,0,0.924980419
99,F_predictors,0,0,0.956858948
99,ALL_predictors,0,0,0.956858043
99,NO_predictors,0,0,0.90117358
100,T_predictors,0,1,0.848460577
100,F_predictors,0,1,0.764476194
100,ALL_predictors,1,1,0.831715263
100,NO_predictors,0,1,0.849837855
101,T_predictors,0,0,0.580343152
101,F_predictors,0,0,0.526220192
101,ALL_predictors,0,0,0.588025726
101,NO_predictors,0,0,0.533409251
102,T_predictors,0,1,0.943231572
102,F_predictors,0,0,0.939036945
102,ALL_predictors,0,0,0.952251458
102,NO_predictors,0,0,0.891461303
103,T_predictors,0,0,0.973839564
103,F_predictors,0,0,0.722747434
103,ALL_predictors,0,0,0.952749342
103,NO_predictors,0,0,0.663213978
104,T_predictors,0,0,0.871521711
104,F_predictors,0,0,0.85683721
104,ALL_predictors,0,0,0.869381399
104,NO_predictors,0,0,0.673737738
105,T_predictors,0,0,0.9871886
105,F_predictors,0,0,0.987188603
105,ALL_predictors,0,0,0.987188606
105,NO_predictors,0,0,0.98718861
106,T_predictors,0,0,0.917125993
106,F_predictors,0,0,0.92143455
106,ALL_predictors,0,0,0.921433907
106,NO_predictors,0,0,0.916543862
107,T_predictors,0,0,0.619170941
107,F_predictors,0,0,0.447287842
107,ALL_predictors,0,0,0.609018015
107,NO_predictors,0,0,-0.067870275
108,T_predictors,0,0,0.978240736
108,F_predictors,0,0,0.910362876
108,ALL_predictors,0,0,0.976247013
108,NO_predictors,0,0,0.974919836
109,T_predictors,0,0,0.912400438
109,F_predictors,0,0,0.903928405
109,ALL_predictors,0,0,0.937545805
109,NO_predictors,0,0,0.90769383
110,T_predictors,0,0,0.980347205
110,F_predictors,0,0,0.984118865
110,ALL_predictors,0,0,0.986999197
110,NO_predictors,0,0,0.969968511
