series_id,"synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
32,"NO_predictors",0,0,0.636482757485931
33,"T_predictors",0,0,0.899934798441033
33,"F_predictors",0,0,0.899933429368961
33,"ALL_predictors",0,0,0.898982245513091
33,"NO_predictors",0,0,0.897758009302272
34,"T_predictors",0,0,0.938791073360343
34,"F_predictors",0,0,0.812490094636088
34,"ALL_predictors",0,0,0.812818236212498
34,"NO_predictors",0,0,0.929882673099955
35,"T_predictors",0,0,NA
35,"F_predictors",0,0,0.80968599106387
35,"ALL_predictors",0,0,0.990309117279578
35,"NO_predictors",0,0,0.786064880844933
36,"T_predictors",0,0,0.856979388357199
36,"F_predictors",0,0,0.891403583777807
36,"ALL_predictors",0,0,0.875746993581626
36,"NO_predictors",0,0,0.837234392079533
37,"T_predictors",0,0,0.656763772057907
37,"F_predictors",0,0,NA
37,"ALL_predictors",0,0,0.757962921671035
37,"NO_predictors",0,0,0.474697228666396
38,"T_predictors",0,0,0.937790442079747
38,"F_predictors",0,0,0.945153941656259
38,"ALL_predictors",0,0,0.945153959899933
38,"NO_predictors",0,0,0.937851752134738
39,"T_predictors",0,0,0.964442763308274
39,"F_predictors",0,0,0.965252677118977
39,"ALL_predictors",0,0,0.967576815005224
39,"NO_predictors",0,0,0.323602726754124
40,"T_predictors",0,0,0.778651925061987
40,"F_predictors",0,0,0.72758624898509
40,"ALL_predictors",0,0,0.778655121319354
40,"NO_predictors",0,0,0.500730132968177
41,"T_predictors",0,0,0.804649268971451
41,"F_predictors",0,0,0.799937652670349
41,"ALL_predictors",0,0,0.806359242001963
41,"NO_predictors",0,0,0.763920679303274
42,"T_predictors",0,0,0.788064888367125
42,"F_predictors",0,1,0.792179268810528
42,"ALL_predictors",0,0,0.795740492353892
42,"NO_predictors",0,0,0.755468017883896
43,"T_predictors",0,0,0.979854170872809
43,"F_predictors",0,0,0.979854110576472
43,"ALL_predictors",0,0,0.979853555637401
43,"NO_predictors",0,0,0.979744020394047
44,"T_predictors",0,0,0.922927463561026
